id,realTimePosition,name,lastName,gender,age,country,business category ,company name,worth,worthChange,image,Rank,Population, % of World Population,Date,Source
8306,195,George kaiser,Kaiser,M,75,United States,Energy ,"oil & gas, banking",7.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d5896d4bbe6f37dda003ad/416x416.jpg?background=000000&cropX1=946&cropX2=3153&cropY1=655&cropY2=2864,3,"329,196,803",4.24%,17 Jan 2020,National population clock
7886,212,Pauline macmillan keinath,Keinath,F,84,United States,Food and Beverage ,Cargill,7.4 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7e00d831358e4955ad0b9f/416x416.jpg?background=000000&cropX1=521&cropX2=2885&cropY1=0&cropY2=2362,3,"329,196,803",4.24%,17 Jan 2020,National population clock
3616,216,Eli broad,Broad,M,85,United States,Finance and Investments ,investments,7.3 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a90b30c4bbe6f0fa8266bc6/416x416.jpg?background=000000&cropX1=1307&cropX2=3000&cropY1=56&cropY2=1747,3,"329,196,803",4.24%,17 Jan 2020,National population clock
9546,218,Shahid khan,Khan,M,67,United States,Automotive ,auto parts,7.2 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8da7ab4bbe6f2652f6204f/416x416.jpg?background=000000&cropX1=980&cropX2=4000&cropY1=230&cropY2=3253,3,"329,196,803",4.24%,17 Jan 2020,National population clock
4806,203,David green,Green,M,76,United States,Fashion & Retail ,retail,6.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d5927ba7ea436b47b374d3/416x416.jpg?background=000000&cropX1=1179&cropX2=2478&cropY1=1572&cropY2=2872,3,"329,196,803",4.24%,17 Jan 2020,National population clock
9417,289,Valerie mars,Mars,F,59,United States,Food and Beverage ,"candy, pet food",5.9 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d5935a4bbe6f37dda0047a/416x416.jpg?background=000000&cropX1=56&cropX2=877&cropY1=16&cropY2=838,3,"329,196,803",4.24%,17 Jan 2020,National population clock
5540,290,Victoria mars,Mars,F,61,United States,Food and Beverage ,"candy, pet food",5.9 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d593da4bbe6f37dda0048f/416x416.jpg?background=000000&cropX1=154&cropX2=586&cropY1=99&cropY2=531,3,"329,196,803",4.24%,17 Jan 2020,National population clock
6024,387,Nancy walton laurie,Laurie,None,67,United States,Fashion & Retail ,Walmart,5.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/55fa16f3e4b0ffa7afe4ad04/416x416.jpg?background=000000&cropX1=124&cropX2=617&cropY1=81&cropY2=574,3,"329,196,803",4.24%,17 Jan 2020,National population clock
6695,303,Dennis washington,Washington,None,83,United States,Logistics ,"construction, mining",5.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/198d7ce586e3b44a8067f1e6bdd424f2/416x416.jpg?background=000000&cropX1=282&cropX2=491&cropY1=160&cropY2=369,3,"329,196,803",4.24%,17 Jan 2020,National population clock
8092,246,David sun,Sun,M,66,United States,Technology ,computer hardware,5.7 BUSD,0.0 millions USD,https:http://specials-images.forbesimg.com/imageserve/56dbf33ff9a34972aa0637c95ea9c36b/416x416.jpg?background=000000&cropX1=60&cropX2=635&cropY1=116&cropY2=691,3,"329,196,803",4.24%,17 Jan 2020,National population clock
1174,339,Gabe newell,Newell,None,55,United States,Gambling & Casinos ,videogames,5.5 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/9efa03c25417e97cae2969a1a4c60335/416x416.jpg?background=000000&cropX1=6&cropX2=663&cropY1=189&cropY2=846,3,"329,196,803",4.24%,17 Jan 2020,National population clock
